Film,Year,Awards,Nominations
Parasite,2019,4,6
Ford v Ferrari,2019,2,4
Learning to Skateboard in a Warzone (If You're a Girl),2019,1,1
The Neighbors' Window,2019,1,1
Little Women,2019,1,6
Marriage Story,2019,1,6
Jojo Rabbit,2019,1,6
Toy Story 4,2019,1,2
Joker,2019,2,11
Once Upon a Time in Hollywood,2019,2,10
1917,2019,3,10
Judy,2019,1,2
Bombshell,2019,1,3
Rocketman,2019,1,1
American Factory,2019,1,1
Hair Love,2019,1,1
Green Book,2018,3,5
Bohemian Rhapsody,2018,4,5
Roma,2018,3,10
Black Panther,2018,3,7
The Favourite,2018,1,10
A Star Is Born,2018,1,8
Vice,2018,1,8
BlacKkKlansman,2018,1,6
First Man,2018,1,4
If Beale Street Could Talk,2018,1,3
Bao,2018,1,1
Free Solo,2018,1,1
Period. End of Sentence.,2018,1,1
Skin,2018,1,1
Spider-Man: Into the Spider-Verse,2018,1,1
The Shape of Water,2017,4,13
Dunkirk,2017,3,8
"Three Billboards Outside Ebbing, Missouri",2017,2,7
Darkest Hour,2017,2,6
Blade Runner 2049,2017,2,5
Coco,2017,2,2
Phantom Thread,2017,1,6
Call Me by Your Name,2017,1,4
Get Out,2017,1,4
"I, Tonya",2017,1,3
Dear Basketball,2017,1,1
A Fantastic Woman,2017,1,1
Heaven Is a Traffic Jam on the 405,2017,1,1
Icarus,2017,1,1
The Silent Child,2017,1,1
Flesh and Sand (Carne y arena),2017,0 (1)[1],0
Moonlight,2016,3,8
La La Land,2016,6,14
Hacksaw Ridge,2016,2,6
Manchester by the Sea,2016,2,6
Arrival,2016,1,8
Fences,2016,1,4
Fantastic Beasts and Where to Find Them,2016,1,2
The Jungle Book,2016,1,1
O.J.: Made in America,2016,1,1
Piper,2016,1,1
The Salesman,2016,1,1
Sing,2016,1,1
Suicide Squad,2016,1,1
The White Helmets,2016,1,1
Zootopia,2016,1,1
Spotlight,2015,2,6
Mad Max: Fury Road,2015,6,10
The Revenant,2015,3,12
Bridge of Spies,2015,1,6
The Big Short,2015,1,5
The Danish Girl,2015,1,4
Room,2015,1,4
The Hateful Eight,2015,1,3
Ex Machina,2015,1,2
Inside Out,2015,1,2
Amy,2015,1,1
Bear Story,2015,1,1
A Girl in the River: The Price of Forgiveness,2015,1,1
Son of Saul,2015,1,1
Spectre,2015,1,1
Stutterer,2015,1,1
Birdman,2014,4,9
The Grand Budapest Hotel,2014,4,9
Whiplash,2014,3,5
The Imitation Game,2014,1,8
American Sniper,2014,1,6
Boyhood,2014,1,6
Interstellar,2014,1,5
The Theory of Everything,2014,1,5
Ida,2014,1,2
Selma,2014,1,2
Citizenfour,2014,1,1
Big Hero 6,2014,1,1
Crisis Hotline: Veterans Press 1,2014,1,1
The Phone Call,2014,1,1
Still Alice,2014,1,1
Feast,2014,1,1
12 Years a Slave,2013,3,9
Gravity,2013,7,10
Dallas Buyers Club,2013,3,6
Frozen,2013,2,2
The Great Gatsby,2013,2,2
Her,2013,1,5
Blue Jasmine,2013,1,3
Mr Hublot,2013,1,1
The Lady in Number 6,2013,1,1
Helium,2013,1,1
The Great Beauty,2013,1,1
20 Feet from Stardom,2013,1,1
Argo,2012,3,7
Life of Pi,2012,4,11
Les Misérables,2012,3,8
Lincoln,2012,2,12
Django Unchained,2012,2,5
Skyfall,2012,2,5
Silver Linings Playbook,2012,1,8
Zero Dark Thirty,2012,1,5
Amour,2012,1,5
Anna Karenina,2012,1,4
Paperman,2012,1,1
Brave,2012,1,1
Searching for Sugar Man,2012,1,1
Inocente,2012,1,1
Curfew,2012,1,1
The Artist,2011,5,10
Hugo,2011,5,11
The Iron Lady,2011,2,2
The Descendants,2011,1,5
The Girl with the Dragon Tattoo,2011,1,5
Midnight in Paris,2011,1,4
The Help,2011,1,4
A Separation,2011,1,2
The Fantastic Flying Books of Mr. Morris Lessmore,2011,1,1
The Shore,2011,1,1
Undefeated,2011,1,1
The Muppets,2011,1,1
Saving Face,2011,1,1
Beginners,2011,1,1
Rango,2011,1,1
The King's Speech,2010,4,12
Inception,2010,4,8
The Social Network,2010,3,8
The Fighter,2010,2,7
Toy Story 3,2010,2,5
Alice in Wonderland,2010,2,3
Black Swan,2010,1,5
In a Better World,2010,1,1
The Lost Thing,2010,1,1
God of Love,2010,1,1
The Wolfman,2010,1,1
Strangers No More,2010,1,1
Inside Job,2010,1,1
The Hurt Locker,2009,6,9
Avatar,2009,3,9
Precious,2009,2,6
Up,2009,2,5
Crazy Heart,2009,2,3
Inglourious Basterds,2009,1,8
Star Trek,2009,1,4
The Young Victoria,2009,1,3
The Blind Side,2009,1,2
Music by Prudence,2009,1,1
The Secret in Their Eyes,2009,1,1
The Cove,2009,1,1
The New Tenants,2009,1,1
Logorama,2009,1,1
Slumdog Millionaire,2008,8,10
The Curious Case of Benjamin Button,2008,3,13
Milk,2008,2,8
The Dark Knight,2008,2,8
WALL-E,2008,1,6
The Reader,2008,1,5
The Duchess,2008,1,2
Departures,2008,1,1
Vicky Cristina Barcelona,2008,1,1
Smile Pinki,2008,1,1
Man on Wire,2008,1,1
Toyland,2008,1,1
La Maison en Petits Cubes,2008,1,1
No Country for Old Men,2007,4,8
The Bourne Ultimatum,2007,3,3
There Will Be Blood,2007,2,8
La Vie en rose,2007,2,3
Atonement,2007,1,7
Michael Clayton,2007,1,7
Ratatouille,2007,1,5
Juno,2007,1,4
Sweeney Todd: The Demon Barber of Fleet Street,2007,1,3
The Golden Compass,2007,1,2
Elizabeth: The Golden Age,2007,1,2
Taxi to the Dark Side,2007,1,1
Peter & the Wolf,2007,1,1
Once,2007,1,1
Le Mozart des pickpockets,2007,1,1
The Counterfeiters (Die Fälscher),2007,1,1
Freeheld,2007,1,1
The Departed,2006,4,5
Pan's Labyrinth (El laberinto del fauno),2006,3,6
Dreamgirls,2006,2,8
Little Miss Sunshine,2006,2,4
An Inconvenient Truth,2006,2,2
Babel,2006,1,7
The Queen,2006,1,6
Letters from Iwo Jima,2006,1,4
Pirates of the Caribbean: Dead Man's Chest,2006,1,4
The Danish Poet,2006,1,1
Happy Feet,2006,1,1
The Last King of Scotland,2006,1,1
The Lives of Others (Das Leben der Anderen),2006,1,1
Marie Antoinette,2006,1,1
West Bank Story,2006,1,1
The Blood of Yingzhou District,2006,1,1
Crash,2005,3,6
Brokeback Mountain,2005,3,8
Memoirs of a Geisha,2005,3,6
King Kong,2005,3,4
Capote,2005,1,5
Walk the Line,2005,1,5
The Constant Gardener,2005,1,4
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,1,3
Hustle & Flow,2005,1,2
Syriana,2005,1,2
March of the Penguins (La Marche de l'empereur),2005,1,1
Six Shooter,2005,1,1
The Moon and the Son: An Imagined Conversation,2005,1,1
A Note of Triumph: The Golden Age of Norman Corwin,2005,1,1
Tsotsi,2005,1,1
Wallace & Gromit: The Curse of the Were-Rabbit,2005,1,1
Million Dollar Baby,2004,4,7
The Aviator,2004,5,11
Ray,2004,2,6
The Incredibles,2004,2,4
Finding Neverland,2004,1,7
Sideways,2004,1,5
Lemony Snicket's A Series of Unfortunate Events,2004,1,4
Spider-Man 2,2004,1,3
Eternal Sunshine of the Spotless Mind,2004,1,2
The Motorcycle Diaries,2004,1,2
The Sea Inside,2004,1,2
Born into Brothels,2004,1,1
Mighty Times: The Children's March,2004,1,1
Wasp,2004,1,1
Ryan,2004,1,1
The Lord of the Rings: The Return of the King,2003,11,11
Master and Commander: The Far Side of the World,2003,2,10
Mystic River,2003,2,6
Cold Mountain,2003,1,7
Lost in Translation,2003,1,4
Finding Nemo,2003,1,4
The Barbarian Invasions,2003,1,2
Two Soldiers,2003,1,1
Monster,2003,1,1
Harvie Krumpet,2003,1,1
Chernobyl Heart,2003,1,1
The Fog of War,2003,1,1
Chicago,2002,6,13
The Pianist,2002,3,7
The Lord of the Rings: The Two Towers,2002,2,6
Frida,2002,2,6
The Hours,2002,1,9
Road to Perdition,2002,1,6
Adaptation,2002,1,4
Talk to Her (Hable con ella),2002,1,2
This Charming Man (Der Er En Yndig Mand),2002,1,1
Spirited Away,2002,1,1
Nowhere in Africa (Nirgendwo in Afrika),2002,1,1
